,source,target
486,MCAmusement,852483394470633472
487,MCAmusement,4716109274
488,MCAmusement,961801930719707142
489,MCAmusement,855632002371862528
490,MCAmusement,14425975
491,MCAmusement,3068811280
492,MCAmusement,4189195332
493,MCAmusement,4546537517
494,MCAmusement,2973632606
495,MCAmusement,943137459713560576
496,MCAmusement,995433759259484160
497,MCAmusement,587855657
498,MCAmusement,2300007882
499,MCAmusement,992627993842352128
500,MCAmusement,878410567161008129
501,MCAmusement,782759081668861952
502,MCAmusement,986604199109582850
503,MCAmusement,935454353288237056
504,MCAmusement,249384543
505,MCAmusement,983754912562647040
506,MCAmusement,966358390753685505
507,MCAmusement,982366782819364865
508,MCAmusement,761577137010831361
509,MCAmusement,980228012057571328
510,MCAmusement,888590683367505921
511,MCAmusement,2759863507
512,MCAmusement,627720591
513,MCAmusement,728768788951404544
514,MCAmusement,891320011029188608
515,MCAmusement,779876392703963136
516,MCAmusement,916823085373849600
517,MCAmusement,911380628788076545
518,MCAmusement,711518392348512256
519,MCAmusement,789938027992842240
520,MCAmusement,265634503
521,MCAmusement,942222073107136513
522,MCAmusement,736278125974261760
523,MCAmusement,818184143938920449
524,MCAmusement,3056961970
525,MCAmusement,830676646545928193
526,MCAmusement,2257462040
527,MCAmusement,908394087476285442
528,MCAmusement,883427419058843650
529,MCAmusement,819538726191845376
530,MCAmusement,852451382615584768
531,MCAmusement,962525335664365568
532,MCAmusement,962306558188191744
533,MCAmusement,934633855671291904
534,MCAmusement,3085932908
535,MCAmusement,942932016223232000
536,MCAmusement,872868256016715778
537,MCAmusement,4699830855
538,MCAmusement,2548718136
539,MCAmusement,840555603646918656
540,MCAmusement,199858677
541,MCAmusement,1672048412
542,MCAmusement,1308238970
543,MCAmusement,712667762829733890
544,MCAmusement,948676424029884419
545,MCAmusement,942821745358073856
546,MCAmusement,803063584389472257
547,MCAmusement,796877151538585601
548,MCAmusement,910711249519837184
549,MCAmusement,858272483014848512
550,MCAmusement,909498573540040704
551,MCAmusement,868961724266946560
552,MCAmusement,776543498396766208
553,MCAmusement,827977633241575424
554,MCAmusement,805576708057399296
555,MCAmusement,799452063184732160
556,MCAmusement,738251031914676224
557,MCAmusement,3895575748
558,MCAmusement,919780831
559,MCAmusement,3345606723
560,MCAmusement,710953159611449344
561,MCAmusement,4173915014
562,MCAmusement,4572826696
563,MCAmusement,4407278123
564,MCAmusement,4172012294
565,MCAmusement,3232940100
566,MCAmusement,3645535936
567,MCAmusement,3546466403
568,MCAmusement,3433580357
569,MCAmusement,2823669701
570,MCAmusement,860563633
571,MCAmusement,2726742572
572,MCAmusement,3399213185
573,MCAmusement,474586161
574,MCAmusement,3271332157
575,MCAmusement,2330617376
576,MCAmusement,2612735995
577,MCAmusement,2764278400
578,MCAmusement,3173351111
579,MCAmusement,3251463920
580,MCAmusement,3323664525
581,MCAmusement,3328263135
582,MCAmusement,3315445365
583,MCAmusement,3315613282
584,MCAmusement,2538512202
585,MCAmusement,3304042179
586,MCAmusement,3298184589
587,MCAmusement,1291309908
588,MCAmusement,3298483816
589,MCAmusement,1738135488
590,MCAmusement,2825990187
